jdb	vrad	svrad
---	----	-----
51409.76222	0.0006	0.0019
51586.14605	0.0114	0.0032
51704.91213	0.0065	0.0029
52003.95507	0.0061	0.0037
52100.86678	-0.0018	0.0022
52161.73096	0.0110	0.0022
52162.73165	-0.0014	0.0024
52335.15024	-0.0058	0.0023
52487.79326	0.0017	0.0038
52712.05433	0.0033	0.0021
52828.87708	-0.0031	0.0022
53077.15398	-0.0031	0.0032
53239.82508	-0.0081	0.0026
53426.14551	0.0090	0.0048
53748.16323	-0.0055	0.0020
53754.14596	0.0033	0.0020
53932.80588	0.0031	0.0019
53960.83771	-0.0007	0.0019
53961.77279	-0.0003	0.0016
53962.77418	0.0083	0.0024
53963.81985	0.0071	0.0018
53982.78069	-0.0098	0.0019
54130.14636	-0.0041	0.0018
54131.16220	0.0001	0.0026
54139.16155	0.0054	0.0019
54246.81907	0.0073	0.0012
54247.92767	0.0025	0.0018
54248.82815	-0.0038	0.0015
54249.90281	-0.0024	0.0014
54250.81292	-0.0044	0.0019
54251.81942	-0.0077	0.0013
54255.79771	-0.0022	0.0036
54277.76996	0.0021	0.0017
54278.78138	0.0035	0.0017
54279.78247	-0.0009	0.0020
54285.78969	0.0096	0.0025
54294.84381	-0.0057	0.0020
54300.81847	0.0015	0.0018
54304.79872	-0.0014	0.0022
54305.80545	0.0034	0.0014
54306.83201	0.0096	0.0023
54307.83943	0.0047	0.0015
54308.82016	-0.0037	0.0013
54309.80568	0.0020	0.0013
54310.80271	-0.0051	0.0013
54311.79457	-0.0075	0.0012
54312.79306	-0.0060	0.0011
54313.80176	0.0012	0.0014
54314.82230	0.0029	0.0014
54318.79357	0.0010	0.0014
54335.75166	-0.0011	0.0014
54336.78425	-0.0031	0.0018
54339.72676	-0.0068	0.0027
54343.74861	-0.0032	0.0021
54345.74397	0.0063	0.0019
54461.17458	0.0004	0.0021
54545.09518	0.0075	0.0019
54546.07813	-0.0024	0.0015
54547.07715	-0.0031	0.0027
54547.99454	-0.0049	0.0025
54600.98896	0.0040	0.0020
54601.90368	0.0049	0.0027
54633.86049	-0.0012	0.0015
54634.86134	-0.0037	0.0013
54635.87975	0.0031	0.0012
54636.88690	0.0023	0.0021
54637.88502	-0.0060	0.0016
54638.94288	-0.0020	0.0014
54639.91382	-0.0023	0.0014
54640.92943	-0.0067	0.0019
54641.90267	-0.0014	0.0013
54643.88456	0.0079	0.0017
54666.84246	-0.0022	0.0013
54667.84194	-0.0009	0.0021
54671.85435	-0.0026	0.0013
54672.83453	-0.0008	0.0010
54673.84973	0.0065	0.0010
54686.82794	-0.0056	0.0022
54688.77854	0.0053	0.0020
54689.77880	0.0070	0.0013
54701.79211	-0.0013	0.0012
54702.81250	0.0008	0.0017
54703.80853	0.0022	0.0015
54704.80341	0.0036	0.0012
54717.72887	0.0033	0.0015
54718.73784	-0.0017	0.0020
54719.73866	0.0088	0.0019
54720.73430	0.0078	0.0015
54721.73009	-0.0000	0.0013
54722.74036	0.0010	0.0016
54723.73908	0.0014	0.0016
54903.15067	0.0037	0.0021
55021.91811	-0.0034	0.0014
55022.91286	-0.0054	0.0019
55024.95012	0.0015	0.0016
55049.86010	0.0057	0.0009
55050.80706	-0.0007	0.0008
55051.84043	-0.0057	0.0012
55052.86710	-0.0030	0.0021
55053.79905	-0.0043	0.0008
55201.15720	0.0021	0.0016
55202.15734	-0.0047	0.0016
55203.14807	-0.0040	0.0015
55258.15584	-0.0039	0.0022
55260.13379	-0.0014	0.0021
55338.81312	-0.0033	0.0005
55338.90357	-0.0046	0.0016
55338.98795	-0.0036	0.0013
55339.06181	-0.0069	0.0018
55340.05371	0.0035	0.0016
55340.86600	0.0079	0.0014
55340.95260	0.0044	0.0006
55341.03351	0.0049	0.0008
55341.79524	0.0004	0.0008
55342.00395	0.0003	0.0009
55342.06383	-0.0011	0.0015
55369.93610	-0.0005	0.0014
55370.87580	0.0022	0.0015
55371.93429	0.0065	0.0011
55408.89194	-0.0042	0.0020
55409.76684	-0.0055	0.0015
55409.86682	-0.0049	0.0020
