jdb	vrad	svrad
---	----	-----
52988.70300	0.0001	0.0014
53051.60950	0.0023	0.0012
53066.60475	-0.0031	0.0010
53765.63098	0.0030	0.0003
53809.56726	0.0041	0.0004
53833.57366	0.0031	0.0004
53863.51165	0.0081	0.0004
53865.48205	0.0023	0.0003
53866.47402	0.0018	0.0003
53867.50713	0.0037	0.0004
53868.48140	-0.0014	0.0004
53869.48455	-0.0066	0.0004
53870.46540	-0.0034	0.0004
53871.48220	0.0000	0.0004
53882.48497	0.0008	0.0008
53883.47962	-0.0005	0.0003
53884.44956	-0.0011	0.0006
53887.47245	0.0013	0.0004
54078.72692	0.0048	0.0005
54080.75026	0.0045	0.0005
54082.75413	0.0082	0.0004
54114.68625	0.0044	0.0004
54117.67648	-0.0052	0.0004
54135.62732	-0.0001	0.0004
54142.62295	-0.0042	0.0004
54166.54242	0.0049	0.0005
54168.57112	0.0015	0.0003
54170.53422	0.0030	0.0004
54172.53153	-0.0077	0.0003
54174.56519	0.0002	0.0004
54194.53260	-0.0077	0.0004
54196.53495	-0.0000	0.0004
54197.56184	-0.0007	0.0004
54198.52923	-0.0009	0.0004
54199.53120	0.0055	0.0004
54200.55339	0.0091	0.0004
54202.52198	-0.0007	0.0004
54225.50031	0.0011	0.0006
54228.52050	-0.0071	0.0006
54229.50574	-0.0009	0.0005
54231.50088	-0.0019	0.0005
54232.49574	0.0015	0.0007
54254.44438	0.0029	0.0006
54259.45499	0.0010	0.0006
54316.92520	-0.0028	0.0006
54342.91018	-0.0016	0.0004
54344.91267	-0.0004	0.0004
54345.91182	-0.0081	0.0004
54346.89617	-0.0086	0.0005
54347.91073	-0.0040	0.0004
54385.82746	0.0043	0.0006
54386.81812	-0.0012	0.0004
54387.85130	0.0002	0.0004
54389.81447	-0.0031	0.0007
54390.86187	-0.0071	0.0005
54392.77088	0.0033	0.0005
54393.84063	0.0016	0.0004
54394.79891	0.0034	0.0005
54484.61753	0.0051	0.0004
54486.62611	-0.0052	0.0005
54525.63127	0.0061	0.0004
54530.54549	-0.0040	0.0004
54564.49755	-0.0079	0.0004
54567.49301	-0.0013	0.0004
54570.49770	0.0085	0.0004
54571.49909	0.0014	0.0005
