jdb	vrad	svrad
---	----	-----
52948.70054	0.0366	0.0012
53229.86515	-0.0099	0.0005
53230.88539	-0.0120	0.0004
53232.82704	-0.0120	0.0009
53262.83267	-0.0403	0.0004
53265.82780	-0.0407	0.0005
53266.81072	-0.0406	0.0006
53267.79808	-0.0375	0.0006
53268.73879	-0.0363	0.0005
53271.80084	-0.0277	0.0006
53272.76566	-0.0238	0.0005
53273.75674	-0.0207	0.0004
53274.76605	-0.0187	0.0005
53289.72672	0.0097	0.0005
53294.71840	0.0137	0.0007
53296.73104	0.0242	0.0005
53309.67295	0.0414	0.0004
53314.73945	0.0427	0.0005
53321.73089	0.0405	0.0005
53343.65044	0.0002	0.0006
53344.63520	-0.0029	0.0005
53574.88374	0.0190	0.0004
53575.90257	0.0151	0.0005
53579.89215	-0.0012	0.0005
53604.86411	-0.0391	0.0015
53606.87856	-0.0422	0.0006
53607.86239	-0.0412	0.0006
53608.84353	-0.0409	0.0005
53610.85130	-0.0394	0.0014
53668.68210	0.0423	0.0005
53692.57785	0.0171	0.0004
53693.53983	0.0135	0.0004
53695.54693	0.0049	0.0004
53699.59869	0.0017	0.0005
53722.59778	-0.0427	0.0004
53729.53367	-0.0341	0.0004
53759.54225	0.0007	0.0004
53761.53186	0.0041	0.0004
53944.92019	-0.0228	0.0007
53948.93908	-0.0227	0.0008
53950.92883	-0.0258	0.0005
53974.82461	-0.0368	0.0006
53976.80756	-0.0312	0.0006
53980.82817	-0.0288	0.0005
53981.85887	-0.0286	0.0004
53982.85370	-0.0283	0.0004
53983.81999	-0.0262	0.0007
54047.59375	0.0139	0.0005
54049.60961	0.0128	0.0006
54051.63993	0.0115	0.0007
54053.68894	0.0074	0.0005
54055.67628	0.0015	0.0004
54076.68488	-0.0389	0.0006
54077.61815	-0.0384	0.0005
54079.62446	-0.0362	0.0005
54081.65691	-0.0352	0.0008
54083.63767	-0.0391	0.0006
54120.58653	0.0193	0.0009
54121.54539	0.0211	0.0006
54314.83384	-0.0381	0.0007
54316.84657	-0.0377	0.0005
54319.86492	-0.0434	0.0006
54340.78964	-0.0136	0.0005
54341.85759	-0.0124	0.0005
54342.79176	-0.0119	0.0005
54343.88400	-0.0103	0.0006
54344.80434	-0.0123	0.0005
54345.82438	-0.0115	0.0005
54346.87403	-0.0101	0.0007
54347.81036	-0.0083	0.0005
54348.83934	-0.0058	0.0005
54349.82414	-0.0043	0.0004
54387.75338	0.0339	0.0006
54392.70986	0.0376	0.0005
54672.93083	-0.0472	0.0005
54674.93638	-0.0486	0.0006
54677.87418	-0.0398	0.0005
54681.88358	-0.0364	0.0005
54699.90595	-0.0177	0.0005
54700.87984	-0.0145	0.0005
54702.87651	-0.0093	0.0006
54705.86287	0.0008	0.0007
54708.85759	0.0086	0.0005
54710.81776	0.0089	0.0006
54720.72804	0.0337	0.0005
54721.81221	0.0326	0.0008
54722.81196	0.0341	0.0005
54730.79097	0.0462	0.0005
54731.73165	0.0465	0.0004
54732.73502	0.0448	0.0006
54733.74364	0.0432	0.0004
54734.75963	0.0400	0.0005
54736.68356	0.0357	0.0006
54737.73621	0.0345	0.0007
54743.67710	0.0381	0.0005
54745.66355	0.0364	0.0005
54747.82213	0.0333	0.0005
54748.78622	0.0320	0.0004
54750.80389	0.0283	0.0005
54758.68243	0.0176	0.0004
54759.67422	0.0159	0.0004
54760.68692	0.0119	0.0004
54761.67704	0.0076	0.0004
54763.66321	-0.0005	0.0005
54764.60513	-0.0053	0.0009
54765.63863	-0.0082	0.0007
54766.63175	-0.0086	0.0007
54767.62050	-0.0087	0.0005
54774.61454	-0.0204	0.0004
54775.65700	-0.0242	0.0005
54776.56588	-0.0275	0.0005
54777.58667	-0.0296	0.0006
54778.58391	-0.0313	0.0004
54779.56154	-0.0308	0.0005
54780.57836	-0.0298	0.0005
54799.58642	-0.0392	0.0005
54800.61625	-0.0399	0.0004
54801.62165	-0.0404	0.0005
54802.63860	-0.0409	0.0005
54803.64171	-0.0414	0.0004
54804.66441	-0.0407	0.0005
54805.59730	-0.0393	0.0005
54806.58106	-0.0379	0.0006
54848.52395	0.0442	0.0005
54851.53317	0.0437	0.0004
54853.54241	0.0416	0.0005
55020.89644	-0.0327	0.0004
55021.90453	-0.0370	0.0006
55022.89582	-0.0397	0.0006
55024.90147	-0.0444	0.0005
55025.76759	-0.0443	0.0009
55037.93324	-0.0422	0.0004
55038.86719	-0.0402	0.0004
55039.91936	-0.0356	0.0020
55040.84862	-0.0347	0.0006
55041.80567	-0.0337	0.0006
55042.87608	-0.0295	0.0004
55044.88588	-0.0269	0.0006
55045.84794	-0.0247	0.0005
55067.82996	0.0154	0.0005
55068.85757	0.0200	0.0006
55069.80986	0.0239	0.0005
55070.80839	0.0263	0.0006
55071.80653	0.0277	0.0004
55072.87049	0.0283	0.0004
55074.84368	0.0267	0.0005
55076.81539	0.0266	0.0008
55095.81361	0.0430	0.0005
55096.77585	0.0413	0.0005
55097.86258	0.0397	0.0006
55099.81783	0.0374	0.0005
55101.80920	0.0334	0.0009
55103.75336	0.0296	0.0007
55106.71245	0.0262	0.0005
55108.74312	0.0272	0.0006
55110.69889	0.0257	0.0005
55112.71347	0.0188	0.0006
55113.69728	0.0150	0.0005
55115.75150	0.0059	0.0007
55121.79016	-0.0018	0.0006
55122.74131	-0.0027	0.0005
55123.72462	-0.0061	0.0005
55125.72788	-0.0153	0.0005
55128.67718	-0.0239	0.0005
55132.67217	-0.0239	0.0004
55133.72697	-0.0233	0.0005
55135.62447	-0.0240	0.0004
55136.69024	-0.0262	0.0006
55139.58573	-0.0326	0.0006
55142.62024	-0.0389	0.0006
55143.63166	-0.0395	0.0007
55151.69483	-0.0426	0.0005
55153.65016	-0.0438	0.0006
55156.63074	-0.0441	0.0011
55160.62192	-0.0326	0.0005
55161.61972	-0.0291	0.0007
55349.91217	0.0106	0.0006
55350.94904	0.0070	0.0007
55351.94171	0.0055	0.0005
55352.93505	0.0045	0.0005
55353.95549	0.0032	0.0006
55354.94993	0.0028	0.0006
55355.91934	0.0026	0.0007
55357.94610	0.0016	0.0008
55358.92848	0.0028	0.0007
55359.94346	-0.0013	0.0006
55372.92984	-0.0309	0.0005
55373.93775	-0.0349	0.0008
55375.90207	-0.0406	0.0007
55376.89506	-0.0427	0.0006
